date,gap
10/31/1974,0.030219908
11/30/1974,0.003965042
12/31/1974,-0.029592154
1/31/1975,-0.072009873
2/28/1975,-0.105124125
3/31/1975,-0.114242881
4/30/1975,-0.118818998
5/31/1975,-0.123395885
6/30/1975,-0.118841071
7/31/1975,-0.114336578
8/31/1975,-0.098300225
9/30/1975,-0.072226623
10/31/1975,-0.072382393
11/30/1975,-0.072542223
12/31/1975,-0.060821387
1/31/1976,-0.056819501
2/29/1976,-0.054526678
3/31/1976,-0.048942321
4/30/1976,-0.038513814
5/31/1976,-0.035531986
6/30/1976,0.014710265
7/31/1976,0.015840942
8/31/1976,0.020771922
9/30/1976,0.017304693
10/31/1976,0.007723229
11/30/1976,0.017217742
12/31/1976,0.020561869
1/31/1977,0.008028868
2/28/1977,0.018180731
3/31/1977,0.029653747
4/30/1977,0.034340513
5/31/1977,0.044068635
6/30/1977,0.047174609
7/31/1977,0.047376273
8/31/1977,0.038926642
9/30/1977,0.040583741
10/31/1977,0.040070326
11/30/1977,0.041704601
12/31/1977,0.038321204
1/31/1978,0.028467352
2/28/1978,0.030124837
3/31/1978,0.040313375
4/30/1978,0.048238452
5/31/1978,0.053969786
6/30/1978,0.055484571
7/31/1978,0.059741361
8/31/1978,0.066001837
9/30/1978,0.069478053
10/31/1978,0.072919609
11/30/1978,0.077665645
12/31/1978,0.08103121
1/31/1979,0.080390022
2/28/1979,0.081071071
3/31/1979,0.085034315
4/30/1979,0.071175789
5/31/1979,0.079127311
6/30/1979,0.071893432
7/31/1979,0.073887842
8/31/1979,0.063351133
9/30/1979,0.069972723
10/31/1979,0.068674328
11/30/1979,0.060147046
12/31/1979,0.061491431
1/31/1980,0.062168183
2/29/1980,0.061530449
3/31/1980,0.047098121
4/30/1980,0.026484318
5/31/1980,0.00348272
6/30/1980,-0.029106195
7/31/1980,-0.048837054
8/31/1980,-0.039248622
9/30/1980,-0.028398549
10/31/1980,-0.006011791
11/30/1980,0.008389253
12/31/1980,0.020520681
1/31/1981,0.025221292
2/28/1981,0.016042307
3/31/1981,0.019425734
4/30/1981,0.024086293
5/31/1981,0.021524434
6/30/1981,0.018310483
7/31/1981,0.020327445
8/31/1981,0.013854291
9/30/1981,0.006711043
10/31/1981,-0.013079761
11/30/1981,-0.035897151
12/31/1981,-0.060526098
1/31/1982,-0.092814615
2/28/1982,-0.076128809
3/31/1982,-0.082905234
4/30/1982,-0.08898616
5/31/1982,-0.094364129
6/30/1982,-0.110527492
7/31/1982,-0.115223323
8/31/1982,-0.118470973
9/30/1982,-0.126077049
10/31/1982,-0.135905154
11/30/1982,-0.143569676
12/31/1982,-0.152741954
1/31/1983,-0.144178058
2/28/1983,-0.138641981
3/31/1983,-0.128122465
4/30/1983,-0.105774753
5/31/1983,-0.096423921
6/30/1983,-0.087894484
7/31/1983,-0.072052788
8/31/1983,-0.061840245
9/30/1983,-0.043290514
10/31/1983,-0.038646468
11/30/1983,-0.031487883
12/31/1983,-0.030138581
1/31/1984,-0.024999043
2/29/1984,-0.016155143
3/31/1984,-0.013638893
4/30/1984,-0.001286486
